Core: hps_sdram_p0 - Instance: The_System|arm_a9_hps|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.6,0.583
"Bus Turnaround Time (Slow 1100mV 85C Model)",3.303,--
"Core (Slow 1100mV 85C Model)",1.73,0.143
"Core Recovery/Removal (Slow 1100mV 85C Model)",3.375,0.47
"DQS vs CK (Slow 1100mV 85C Model)",0.657,0.274
"Postamble (Slow 1100mV 85C Model)",0.489,0.489
"Read Capture (Slow 1100mV 85C Model)",0.234,0.187
"Write (Slow 1100mV 85C Model)",0.243,0.243
"Address Command (Slow 1100mV 0C Model)",0.588,0.582
"Bus Turnaround Time (Slow 1100mV 0C Model)",3.33,--
"Core (Slow 1100mV 0C Model)",1.727,0.162
"Core Recovery/Removal (Slow 1100mV 0C Model)",3.468,0.46
"DQS vs CK (Slow 1100mV 0C Model)",0.663,0.313
"Postamble (Slow 1100mV 0C Model)",0.475,0.475
"Read Capture (Slow 1100mV 0C Model)",0.25,0.203
"Write (Slow 1100mV 0C Model)",0.255,0.255
